Line, ὅτι, Content Type, Crit Sign, Scholion Type
17.7, Yes, Multiform, Diple, Intermarginal
17.9, Yes, Multiform, Diple, Main
17.51, Yes, Multiform, Dotted Diple, Main
17.54, No, Multiform, None, Main
17.103, No, Multiform, None, Intermarginal
17.134-136, No, Confirmation,  None, Main
17.149, No, Confirmation, None, Main
17.153, Yes, Multiform, Dotted Diple, Interior
17.171, No, Confirmation, No, Intermarginal
17.173, Yes, Confirmation, Diple, Main
17.260-17.261, Yes, Athetesis, Dotted Diple, Main
17.268, No, Multiform, None, Intermarginal
17.582, Yes, Multiform, Diple, Main
17.595, Yes, Multiform, Dotted Diple, Main
17.700, Yes, Multiform, Diple, Main
