line,type,ὅτι scholion
urn:cts:greekLit:tlg0012.tlg001.msA:17.2,diple,
urn:cts:greekLit:tlg0012.tlg001.msA:17.4,diple,
urn:cts:greekLit:tlg0012.tlg001.msA:17.7,diple,+
urn:cts:greekLit:tlg0012.tlg001.msA:17.15,diple,
urn:cts:greekLit:tlg0012.tlg001.msA:17.24,diple,
urn:cts:greekLit:tlg0012.tlg001.msA:17.29,asterisk,
urn:cts:greekLit:tlg0012.tlg001.msA:17.30,asterisk,
urn:cts:greekLit:tlg0012.tlg001.msA:17.31,asterisk,
urn:cts:greekLit:tlg0012.tlg001.msA:17.32,asterisk,
urn:cts:greekLit:tlg0012.tlg001.msA:17.35,diple,+
urn:cts:greekLit:tlg0012.tlg001.msA:17.38,diple,+
urn:cts:greekLit:tlg0012.tlg001.msA:17.48,diple,
urn:cts:greekLit:tlg0012.tlg001.msA:17.51,dotted diple,+
urn:cts:greekLit:tlg0012.tlg001.msA:17.70,diple,
urn:cts:greekLit:tlg0012.tlg001.msA:17.92,diple,+
urn:cts:greekLit:tlg0012.tlg001.msA:17.112,diple,
urn:cts:greekLit:tlg0012.tlg001.msA:17.115,diple,+
urn:cts:greekLit:tlg0012.tlg001.msA:17.125,diple,+
urn:cts:greekLit:tlg0012.tlg001.msA:17.126,diple,+
urn:cts:greekLit:tlg0012.tlg001.msA:17.151,diple,+
urn:cts:greekLit:tlg0012.tlg001.msA:17.153,dotted diple,++
urn:cts:greekLit:tlg0012.tlg001.msA:17.159,diple,
urn:cts:greekLit:tlg0012.tlg001.msA:17.163,diple,+
urn:cts:greekLit:tlg0012.tlg001.msA:17.173,asterisk,
urn:cts:greekLit:tlg0012.tlg001.msA:17.178,diple,
urn:cts:greekLit:tlg0012.tlg001.msA:17.197,diple,
urn:cts:greekLit:tlg0012.tlg001.msA:17.201,diple,
urn:cts:greekLit:tlg0012.tlg001.msA:17.211,diple,+
urn:cts:greekLit:tlg0012.tlg001.msA:17.219,antisigma,
urn:cts:greekLit:tlg0012.tlg001.msA:17.237,diple,
urn:cts:greekLit:tlg0012.tlg001.msA:17.240,diple,+
urn:cts:greekLit:tlg0012.tlg001.msA:17.242,diple,+
urn:cts:greekLit:tlg0012.tlg001.msA:17.250,diple,
urn:cts:greekLit:tlg0012.tlg001.msA:17.260,dotted diple,+
urn:cts:greekLit:tlg0012.tlg001.msA:17.261,dotted diple,+
urn:cts:greekLit:tlg0012.tlg001.msA:17.582,diple,+
urn:cts:greekLit:tlg0012.tlg001.msA:17.588,diple,
urn:cts:greekLit:tlg0012.tlg001.msA:17.594,diple,+
urn:cts:greekLit:tlg0012.tlg001.msA:17.595,dotted diple,+
urn:cts:greekLit:tlg0012.tlg001.msA:17.597,diple,+
urn:cts:greekLit:tlg0012.tlg001.msA:17.599,diple,++
urn:cts:greekLit:tlg0012.tlg001.msA:17.602,diple,+
urn:cts:greekLit:tlg0012.tlg001.msA:17.608,diple,+
urn:cts:greekLit:tlg0012.tlg001.msA:17.639,diple,
urn:cts:greekLit:tlg0012.tlg001.msA:17.644,diple,+
urn:cts:greekLit:tlg0012.tlg001.msA:17.649,diple,
urn:cts:greekLit:tlg0012.tlg001.msA:17.651,diple,
urn:cts:greekLit:tlg0012.tlg001.msA:17.658,diple,+
urn:cts:greekLit:tlg0012.tlg001.msA:17.667,diple,+
urn:cts:greekLit:tlg0012.tlg001.msA:17.681,diple,
urn:cts:greekLit:tlg0012.tlg001.msA:17.700,diple,
urn:cts:greekLit:tlg0012.tlg001.msA:17.702,diple,+
urn:cts:greekLit:tlg0012.tlg001.msA:17.705,diple,
urn:cts:greekLit:tlg0012.tlg001.msA:17.719,diple,+
urn:cts:greekLit:tlg0012.tlg001.msA:17.728,dotted diple,
urn:cts:greekLit:tlg0012.tlg001.msA:18.7,diple,+
urn:cts:greekLit:tlg0012.tlg001.msA:18.10,antisigma,
urn:cts:greekLit:tlg0012.tlg001.msA:18.23,diple,+
urn:cts:greekLit:tlg0012.tlg001.msA:18.34,diple,
urn:cts:greekLit:tlg0012.tlg001.msA:18.39,obelos,
