folio B,Iliad line B,folio Upsilon,Iliad line Upsilon
19r,,18r,2.1
19r,,18r,2.8
19v,2.16,18v,2.16
20r,2.35,19r,2.35
21r,,20r,2.76
21r,,20r,2.79
21r,2.84,20r,2.84
21r,,20r,2.87
21v,2.110,20v,2.110
22v,2.142,21v,2.142
22v,2.147,21v,2.147
23r,2.157,22r,2.157
23r,2.166,22r,2.166
23v,?,22v,2.182
23v,?,22v,2.188
24r,,23r,2.198
24r,2.207,23r,2.207
24v,,23v,2.225
25r,2.235,24r,2.235
25r,2.243,24r,2.243
25v,2.265,24v,2.265
25v,2.272,24v,2.272
26r,2.278,25r,2.278
26r,,25r,2.284
26v,,25v,2.299
27r,2.333,26r,2.333
27v,,26v,2.336
27v,2.337,26v,
27v,2.344,26v,
28r,,27r,2.360
28r,,27r,2.362
28r,,27r,2.369
28v,2.394,27v,3.394
29r,,28r,2.402
29r,2.412,28r,2.412
29v,2.419,28v,2.419
29v,2.421,28v,2.421
30r,2.441,29r,2.441
30r,,29r,2.444
30r,2.455,29r,2.455
30v,2.459,29v,2.459
30v,2.469,29v,2.469
30v,,29v,2.474
31r,2.480,30r,2.480
31r,2.484,30r,2.484
31v,2.494,30v,2.494
31v,2.511,30v,2.511
32r,2.517,31r,2.517
32r,,31r,2.527
32v,,31v,2.536
32v,,31v,2.546
33r,,32r,2.557
33r,,32r,2.559
33r,,32r,2.569
33v,,32v,2.581
33v,,32v,2.591
34r,,33r,2.603
34v,2.631,33v,2.631
35r,,34r,2.638
35r,,34r,2.653
35v,,34v,2.671
36r,,35r,2.676
36r,,35r,2.681
36v,,35v,2.695
36v,,35v,2.695
36v,,35v,2.711
37r,2.716,36r,2.716
37r,,36r,2.726
37r,2.729,36r,2.729
37r,2.734,36r,2.734
37v,2.738,36v,2.738
37v,,36v,2.748
38r,2.756,37r,2.756
38r,,37r,2.760
38r,,37r,2.763
38r,,37r,2.768
38v,2.780,37v,2.780
38v,,37v,2.786
38v,,37v,2.796
39r,2.807,38r,2.807
39r,,38r,2.811
39r,,38r,2.816
39v,,38v,2.819
39v,,38v,2.824
39v,,38v,2.828
39v,,38v,2.835
40r,,39r,2.840
40r,,39r,2.844
40r,,39r,2.846
40r,2.848,39r,2.848
40r,,39r,2.851
40r,2.856,39r,2.856
40v,,39v,2.862
40v,,39v,2.864
40v,,39v,2.867
40v,,39v,2.876
41r,3.1,40r,3.1
41r,3.1,40r,3.8
