AnalysisRecord,PassageAnalyzed,QuotedString,Analysis,ReusedText
urn:cite:hmt:reuse.17_,urn:cts:greekLit:tlg5026.msAim.hmt:17.1,πρόσθε δε ου,urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:17.7
urn:cite:hmt:reuse.17_,urn:cts:greekLit:tlg5026.msAim.hmt:17.2,πρῶτος,urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.17_,urn:cts:greekLit:tlg5026.msAim.hmt:17.2,εμοῦ,urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.17_,urn:cts:greekLit:tlg5026.msAim.hmt:17.3,παρδάλιος,urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:17.20
urn:cite:hmt:reuse.17_,urn:cts:greekLit:tlg5026.msAim.hmt:17.4,τε,urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.27
urn:cite:hmt:reuse.17_,urn:cts:greekLit:tlg5026.msAim.hmt:17.4,οὐδέ τε,urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:17.27
urn:cite:hmt:reuse.17_,urn:cts:greekLit:tlg5026.msAim.hmt:17.7,ἠδ' αλκῆς ἠδὲ φόβοιο,urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:17.42
urn:cite:hmt:reuse.17_,urn:cts:greekLit:tlg5026.msAim.hmt:17.11,ἀγάσσατο,urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.71
urn:cite:hmt:reuse.17_,urn:cts:greekLit:tlg5026.msAim.hmt:17.11,ἐφθόνησεν,urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.17_,urn:cts:greekLit:tlg5026.msAim.hmt:17.11,εθαύμασεν,urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.17_,urn:cts:greekLit:tlg5026.msAim.hmt:17.12,περιστήῳσι,urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:17.95
urn:cite:hmt:reuse.17_,urn:cts:greekLit:tlg5026.msAim.hmt:17.13,παραχωρήσαντα,urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.17_,urn:cts:greekLit:tlg5026.msAim.hmt:17.13,ὑποχωρήσαντα,urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.17_,urn:cts:greekLit:tlg5026.msAim.hmt:17.14,ιόντε,urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:17.103
urn:cite:hmt:reuse.17_,urn:cts:greekLit:tlg5026.msAim.hmt:17.15,ἑστήκει,urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.133
urn:cite:hmt:reuse.17_,urn:cts:greekLit:tlg5026.msAim.hmt:17.16,σαώσῃς,urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:17.144
urn:cite:hmt:reuse.17_,urn:cts:greekLit:tlg5026.msAim.hmt:17.19,τεθνῃὼς,urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.161
