Observation,TextUrn,Image,Comments
urn:cite:op:hc-il17.1,urn:cts:greekLit:tlg0012.tlg001.msA:17.1@ο,"urn:cite:hmt:vaimg.VA223VN-0725@0.427,0.2186,0.075,0.0579",
urn:cite:op:hc-il17.2,urn:cts:greekLit:tlg0012.tlg001.msA:17.1ὐ,"urn:cite:hmt:vaimg.VA223VN-0725@0.493,0.2261,0.021,0.027",
urn:cite:op:hc-il17.3,urn:cts:greekLit:tlg0012.tlg001.msA:17.1@δ,"urn:cite:hmt:vaimg.VA223VN-0725@0.512,0.2352,0.011,0.0165",
urn:cite:op:hc-il17.4,urn:cts:greekLit:tlg0012.tlg001.msA:17.1@ἕ,"urn:cite:hmt:vaimg.VA223VN-0725@0.519,0.2322,0.012,0.0203",
urn:cite:op:hc-il17.5,urn:cts:greekLit:tlg0012.tlg001.msA:17.1@λ,"urn:cite:hmt:vaimg.VA223VN-0725@0.529,0.2389,0.013,0.015",
urn:cite:op:hc-il17.6,urn:cts:greekLit:tlg0012.tlg001.msA:17.1@α,"urn:cite:hmt:vaimg.VA223VN-0725@0.5383,0.2408,0.014,0.0091",
urn:cite:op:hc-il17.7,urn:cts:greekLit:tlg0012.tlg001.msA:17.1@θ,"urn:cite:hmt:vaimg.VA223VN-0725@0.5523,0.2386,0.0173,0.0125",
urn:cite:op:hc-il17.8,urn:cts:greekLit:tlg0012.tlg001.msA:17.1@ἀ,"urn:cite:hmt:vaimg.VA223VN-0725@0.5715,0.2364,0.0129,0.0127",
urn:cite:op:hc-il17.9,urn:cts:greekLit:tlg0012.tlg001.msA:17.1@τ,"urn:cite:hmt:vaimg.VA223VN-0725@0.5822,0.2417,0.0122,0.0091",
urn:cite:op:hc-il17.10,urn:cts:greekLit:tlg0012.tlg001.msA:17.1@ρ,"urn:cite:hmt:vaimg.VA223VN-0725@0.5899,0.2422,0.01,0.0122",
urn:cite:op:hc-il17.11,urn:cts:greekLit:tlg0012.tlg001.msA:17.1@έ,"urn:cite:hmt:vaimg.VA223VN-0725@0.6028,0.2323,0.0122,0.018",
urn:cite:op:hc-il17.12,urn:cts:greekLit:tlg0012.tlg001.msA:17.1@ο[2],"urn:cite:hmt:vaimg.VA223VN-0725@0.6128,0.2428,0.0074,0.0083",
urn:cite:op:hc-il17.13,urn:cts:greekLit:tlg0012.tlg001.msA:17.1@ς,"urn:cite:hmt:vaimg.VA223VN-0725@0.619,0.2422,0.0155,0.0091",
urn:cite:op:hc-il17.14,urn:cts:greekLit:tlg0012.tlg001.msA:17.1@υἱ,"urn:cite:hmt:vaimg.VA223VN-0725@0.636,0.2372,0.0133,0.015",
urn:cite:op:hc-il17.15,urn:cts:greekLit:tlg0012.tlg001.msA:17.1@ο,"urn:cite:hmt:vaimg.VA223VN-0725@0.6511,0.2422,0.0081,0.0075",
urn:cite:op:hc-il17.16,urn:cts:greekLit:tlg0012.tlg001.msA:17.1@ν,"urn:cite:hmt:vaimg.VA223VN-0725@0.6574,0.2417,0.0133,0.0108",
urn:cite:op:hc-il17.17,urn:cts:greekLit:tlg0012.tlg001.msA:17.1@ἀ[2],"urn:cite:hmt:vaimg.VA223VN-0725@0.671,0.2375,0.0133,0.0125",
urn:cite:op:hc-il17.18,urn:cts:greekLit:tlg0012.tlg001.msA:17.1@ρ,"urn:cite:hmt:vaimg.VA223VN-0725@0.6813,0.2425,0.0118,0.0127",
urn:cite:op:hc-il17.19,urn:cts:greekLit:tlg0012.tlg001.msA:17.1@η,"urn:cite:hmt:vaimg.VA223VN-0725@0.692,0.2356,0.0133,0.0155",
urn:cite:op:hc-il17.20,urn:cts:greekLit:tlg0012.tlg001.msA:17.1@ΐ,"urn:cite:hmt:vaimg.VA223VN-0725@0.7046,0.2309,0.0136,0.0216",
urn:cite:op:hc-il17.21,urn:cts:greekLit:tlg0012.tlg001.msA:17.1@φ,"urn:cite:hmt:vaimg.VA223VN-0725@0.7138,0.2381,0.0136,0.0174",
urn:cite:op:hc-il17.22,urn:cts:greekLit:tlg0012.tlg001.msA:17.1@ι,"urn:cite:hmt:vaimg.VA223VN-0725@0.7274,0.2406,0.0063,0.0091",
urn:cite:op:hc-il17.23,urn:cts:greekLit:tlg0012.tlg001.msA:17.1@λ[2],"urn:cite:hmt:vaimg.VA223VN-0725@0.733,0.2383,0.0144,0.0119",
urn:cite:op:hc-il17.24,urn:cts:greekLit:tlg0012.tlg001.msA:17.1@ο[3],"urn:cite:hmt:vaimg.VA223VN-0725@0.7448,0.2414,0.0074,0.0066",
urn:cite:op:hc-il17.25,urn:cts:greekLit:tlg0012.tlg001.msA:17.1@ν,"urn:cite:hmt:vaimg.VA223VN-0725@0.751,0.2411,0.0114,0.0111",
urn:cite:op:hc-il17.26,urn:cts:greekLit:tlg0012.tlg001.msA:17.1@μ,"urn:cite:hmt:vaimg.VA223VN-0725@0.7636,0.2408,0.0162,0.0114",
urn:cite:op:hc-il17.27,urn:cts:greekLit:tlg0012.tlg001.msA:17.1@ε,"urn:cite:hmt:vaimg.VA223VN-0725@0.7791,0.2383,0.01,0.0119",
urn:cite:op:hc-il17.28,urn:cts:greekLit:tlg0012.tlg001.msA:17.1@ν,"urn:cite:hmt:vaimg.VA223VN-0725@0.7886,0.2417,0.0103,0.0108",
urn:cite:op:hc-il17.29,urn:cts:greekLit:tlg0012.tlg001.msA:17.1@έ,"urn:cite:hmt:vaimg.VA223VN-0725@0.799,0.2342,0.0092,0.0152",
urn:cite:op:hc-il17.30,urn:cts:greekLit:tlg0012.tlg001.msA:17.1@λ[3],"urn:cite:hmt:vaimg.VA223VN-0725@0.8056,0.2406,0.0129,0.0111"
urn:cite:op:hc-il17.31,urn:cts:greekLit:tlg0012.tlg001.msA:17.1@α,"urn:cite:hmt:vaimg.VA223VN-0725@0.8152,0.2425,0.0114,0.0072"
urn:cite:op:hc-il17.32,urn:cts:greekLit:tlg0012.tlg001.msA:17.1@ο[4],"urn:cite:hmt:vaimg.VA223VN-0725@0.827,0.2431,0.0063,0.0069"
urn:cite:op:hc-il17.33,urn:cts:greekLit:tlg0012.tlg001.msA:17.1@ν,"urn:cite:hmt:vaimg.VA223VN-0725@0.8336,0.2431,0.0085,0.0094"
