Text,Image,Folio
urn:cts:greekLit:tlg5026.msAint.hmt:17.1,"urn:cite:hmt:vaimg.VA223VN-0725@0.83,0.2502,0.072,0.024",urn:cite:hmt:msA.223v
urn:cts:greekLit:tlg5026.msAint.hmt:17.2,"urn:cite:hmt:vaimg.VA223VN-0725@0.864,0.3606,0.047,0.0609",urn:cite:hmt:msA.223v
urn:cts:greekLit:tlg5026.msAint.hmt:17.3,"urn:cite:hmt:vaimg.VA223VN-0725@0.867,0.5657,0.047,0.0406",urn:cite:hmt:msA.223v
urn:cts:greekLit:tlg5026.msAint.hmt:17.4,"urn:cite:hmt:vaimg.VA224RN-0395@0.1117,0.3071,0.0643,0.03",urn:cite:hmt:msA.224r
urn:cts:greekLit:tlg5026.msAint.hmt:17.5,"urn:cite:hmt:vaimg.VA224RN-0395@0.112,0.402,0.079,0.0195",urn:cite:hmt:msA.224r
urn:cts:greekLit:tlg5026.msAint.hmt:17.6,"urn:cite:hmt:vaimg.VA224RN-0395@0.11,0.4207,0.075,0.0473",urn:cite:hmt:msA.224r
urn:cts:greekLit:tlg5026.msAint.hmt:17.7,"urn:cite:hmt:vaimg.VA224RN-0395@0.1153,0.4662,0.0669,0.0201",urn:cite:hmt:msA.224r
urn:cts:greekLit:tlg5026.msAint.hmt:17.8,"urn:cite:hmt:vaimg.VA224RN-0395@0.116,0.559,0.071,0.0301",urn:cite:hmt:msA.224r
urn:cts:greekLit:tlg5026.msAint.hmt:17.9,"urn:cite:hmt:vaimg.VA224VN-0726@0.866,0.4966,0.059,0.0488",urn:cite:hmt:msA.224v
urn:cts:greekLit:tlg5026.msAint.hmt:17.10,"urn:cite:hmt:vaimg.VA225RN-0396@0.109,0.3929,0.086,0.0278",urn:cite:hmt:msA.225r
urn:cts:greekLit:tlg5026.msAint.hmt:17.11,"urn:cite:hmt:vaimg.VA225RN-0396@0.11,0.4252,0.074,0.0586",urn:cite:hmt:msA.225r
urn:cts:greekLit:tlg5026.msAint.hmt:17.12,"urn:cite:hmt:vaimg.VA225RN-0396@0.113,0.4853,0.081,0.0413",urn:cite:hmt:msA.225r
urn:cts:greekLit:tlg5026.msAint.hmt:17.12,"urn:cite:hmt:vaimg.VA225RN-0396@0.115,0.5312,0.074,0.0308",urn:cite:hmt:msA.225r
urn:cts:greekLit:tlg5026.msAint.hmt:17.12,"urn:cite:hmt:vaimg.VA225RN-0396@0.115,0.568,0.077,0.0436",urn:cite:hmt:msA.225r
