Text,Image,Folio
urn:cts:greekLit:tlg5026.msAim.hmt:17.1,"urn:cite:hmt:vaimg.VA223VN-0725@0.44,0.3434,0.057,0.0451",urn:cite:hmt:msA.223v
urn:cts:greekLit:tlg5026.msAim.hmt:17.2,"urn:cite:hmt:vaimg.VA223VN-0725@0.435,0.4793,0.069,0.0541",urn:cite:hmt:msA.223v
urn:cts:greekLit:tlg5026.msAim.hmt:17.3,"urn:cite:hmt:vaimg.VA223VN-0725@0.437,0.5973,0.059,0.0278",urn:cite:hmt:msA.223v
urn:cts:greekLit:tlg5026.msAim.hmt:17.4,"urn:cite:hmt:vaimg.VA224RN-0395@0.5709,0.237,0.0313,0.0421",urn:cite:hmt:msA.224r
urn:cts:greekLit:tlg5026.msAim.hmt:17.5,"urn:cite:hmt:vaimg.VA224RN-0395@0.5466,0.4448,0.0579,0.0227",urn:cite:hmt:msA.224r
urn:cts:greekLit:tlg5026.msAim.hmt:17.6,"urn:cite:hmt:vaimg.VA224RN-0395@0.5403,0.4819,0.0579,0.031",urn:cite:hmt:msA.224r
urn:cts:greekLit:tlg5026.msAim.hmt:17.7,"urn:cite:hmt:vaimg.VA224RN-0395@0.4979,0.5209,0.1006,0.0196",urn:cite:hmt:msA.224r
urn:cts:greekLit:tlg5026.msAim.hmt:17.8,"urn:cite:hmt:vaimg.VA224RN-0395@0.2053,0.6903,0.2866,0.0154",urn:cite:hmt:msA.224r
urn:cts:greekLit:tlg5026.msAim.hmt:17.9,"urn:cite:hmt:vaimg.VA224VN-0726@0.422,0.2825,0.074,0.0338",urn:cite:hmt:msA.224v
urn:cts:greekLit:tlg5026.msAim.hmt:17.10,"urn:cite:hmt:vaimg.VA224VN-0726@0.436,0.4944,0.059,0.0293",urn:cite:hmt:msA.224v
urn:cts:greekLit:tlg5026.msAim.hmt:17.11,"urn:cite:hmt:vaimg.VA224VN-0726@0.44,0.6168,0.059,0.0609",urn:cite:hmt:msA.224v
urn:cts:greekLit:tlg5026.msAim.hmt:17.12,"urn:cite:hmt:vaimg.VA225RN-0396@0.583,0.5718,0.044,0.024",urn:cite:hmt:msA.225r
urn:cts:greekLit:tlg5026.msAim.hmt:17.13,"urn:cite:hmt:vaimg.VA225VN-0727@0.433,0.2216,0.05,0.0323",urn:cite:hmt:msA.225v
