Text,Image,Folio
urn:cts:greekLit:tlg5026.msA.hmt:12.A1,"urn:cite:hmt:vaimg.VA223VN-0725@0.223,0.1202,0.663,0.0533",urn:cite:hmt:msA.12r
urn:cts:greekLit:tlg5026.msA.hmt:12.A2,"urn:cite:hmt:vaimg.VA223VN-0725@0.229,0.1593,0.672,0.0616",urn:cite:hmt:msA.12r
urn:cts:greekLit:tlg5026.msA.hmt:12.A3,"urn:cite:hmt:vaimg.VA223VN-0725@0.221,0.2044,0.685,0.0789",urn:cite:hmt:msA.12r
urn:cts:greekLit:tlg5026.msA.hmt:12.A4,"urn:cite:hmt:vaimg.VA223VN-0725@0.231,0.272,0.206,0.0932",urn:cite:hmt:msA.12r
urn:cts:greekLit:tlg5026.msA.hmt:12.A5,"urn:cite:hmt:vaimg.VA223VN-0725@0.221,0.3629,0.223,0.0601",urn:cite:hmt:msA.12r
urn:cts:greekLit:tlg5026.msA.hmt:12.A6,"urn:cite:hmt:vaimg.VA223VN-0725@0.225,0.417,0.226,0.0631",urn:cite:hmt:msA.12r
urn:cts:greekLit:tlg5026.msA.hmt:12.A7,"urn:cite:hmt:vaimg.VA223VN-0725@0.222,0.4816,0.223,0.0624",urn:cite:hmt:msA.12r
urn:cts:greekLit:tlg5026.msA.hmt:12.A8,"urn:cite:hmt:vaimg.VA223VN-0725@0.224,0.5334,0.084,0.021",urn:cite:hmt:msA.12r
urn:cts:greekLit:tlg5026.msA.hmt:12.A9,"urn:cite:hmt:vaimg.VA223VN-0725@0.226,0.7153,0.663,0.0451",urn:cite:hmt:msA.12r
urn:cts:greekLit:tlg5026.msA.hmt:12.A10,"urn:cite:hmt:vaimg.VA223VN-0725@0.234,0.7378,0.671,0.0443",urn:cite:hmt:msA.12r
